trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.4541006825624361, 'e': 0.9359999999999999}",20,0,-92.68162629438852,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.45137607846706146, 'e': 0.9319999999999999}",25,13,-17.760017386467553,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.4486678219962591, 'e': 0.9279999999999999}",20,0,-164.43338889505074,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.4459758150642815, 'e': 0.9239999999999999}",35,0,-173.29642881485435,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.44329996017389584, 'e': 0.9199999999999999}",25,18,10.351116010004302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.4406401604128525, 'e': 0.9159999999999999}",25,0,-91.81427451550219,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.43799631945037537, 'e': 0.9119999999999999}",25,0,-161.438526863136,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.4353683415336731, 'e': 0.9079999999999999}",30,0,-127.07502474685803,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.43275613148447106, 'e': 0.9039999999999999}",25,4,-81.63331919245601,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 1}",1
25,False,"{'a': 0.43015959469556425, 'e': 0.8999999999999999}",20,0,-52.011123083657644,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.42757863712739086, 'e': 0.8959999999999999}",20,0,-87.33205100282899,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.4250131653046265, 'e': 0.8919999999999999}",20,0,-76.9353588548911,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.4224630863127988, 'e': 0.8879999999999999}",20,0,-98.61937075300918,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
29,False,"{'a': 0.41992830779492196, 'e': 0.8839999999999999}",25,0,-140.383048433516,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
